"source";"test_type";"df1";"df2";"test_comp";"test_value";"p_comp";"reported_p";"computed_p";"raw";"error";"decision_error";"one_tailed_in_txt";"apa_factor";"date_received";"journal";"year_published";"period";"statcheck_journal";"reason";"remarks"
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"F";1;74;"=";0.01;"=";0.92;0.920614750383925;"F(1, 74) = 0.01, p =.92";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"t";NA;75;"=";10.1;"<";0.001;1.24012172473988e-15;"t(75) = 10.10, p <.001";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"t";NA;75;"=";4.8;"<";0.001;7.90357954226513e-06;"t(75) = 4.80, p <.001";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"t";NA;75;"=";2.54;"=";0.013;0.0131543942257741;"t(75) = 2.54, p =.013";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"r";NA;74;"=";-0.11;"=";0.366;0.344179524071447;"r(74) = −.11, p =.366";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"t";NA;66;"=";2.96;"=";0.004;0.0042696195109955;"t(66) = 2.96, p =.004";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"F";1;236;"=";5.79;"=";0.017;0.01688744611884;"F(1, 236) = 5.79, p =.017";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"F";1;236;"=";0.4;"=";0.53;0.527701524868806;"F(1, 236) = 0.40, p =.53";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"F";1;236;"=";0.18;"=";0.67;0.671759724673725;"F(1, 236) = 0.18, p =.67";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"F";1;57;"=";22.87;"<";0.001;1.26294306644172e-05;"F(1, 57) = 22.87, p <.001";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"F";1;57;"=";0.09;"=";0.76;0.765268516637401;"F(1, 57) = 0.09, p =.76";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"F";1;57;"=";2.65;"=";0.11;0.109065561184649;"F(1, 57) = 2.65, p =.11";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"t";NA;30;"=";3.7;"<";0.001;0.000864599853247289;"t(30) = 3.70, p <.001";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"t";NA;27;"=";3.65;"<";0.001;0.00110847222646497;"t(27) = 3.65, p <.001";TRUE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"Chi2";1;NA;"=";3.93;"=";0.047;0.0474319443180455;"χ 2(1, N = 264) = 3.93, p =.047";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"Chi2";1;NA;"=";0.84;"=";0.34;0.359396770820519;"χ 2(1, N = 132) = 0.84, p =.34";TRUE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"Chi2";1;NA;"=";3.67;"=";0.055;0.0554001841812025;"χ 2(1, N = 132) = 3.67, p =.055";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"Chi2";1;NA;"=";0.5;"=";0.48;0.479500122186953;"χ 2(1, N = 132) = 0.50, p =.48";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"Chi2";1;NA;"=";12.22;"<";0.001;0.000472799309459049;"χ 2(1, N = 132) = 12.22, p <.001";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"F";1;44;"=";0.54;"=";0.47;0.466331423479712;"F(1, 44) = 0.54, p =.47";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"F";1;44;"=";0.001;"=";0.98;0.974915891560221;"F(1, 44) = 0.001, p =.98";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"F";1;47;"=";3.62;"=";0.063;0.0632253948197323;"F(1, 47) = 3.62, p =.063";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"F";1;47;"=";7.49;"=";0.009;0.00873000673486151;"F(1, 47) = 7.49, p =.009";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"F";1;47;"=";3.42;"=";0.07;0.070705348105336;"F(1, 47) = 3.42, p =.070";TRUE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"F";1;47;"=";5.11;"=";0.028;0.0284605306514829;"F(1, 47) = 5.11, p =.028";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"F";1;47;"=";0.01;"=";0.92;0.920769666455213;"F(1, 47) = 0.01, p =.92";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"t";NA;47;"=";1.17;"=";0.249;0.24789983650173;"t(47) = 1.17, p =.249";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
"Resource Slack and Propensity to Discount Delayed Investments of Time Versu...  EBSCOhost";"t";NA;47;"=";0.77;"=";0.444;0.445152979192428;"t(47) = 0.77, p =.444";FALSE;FALSE;FALSE;0.89;"2003-09-04";"JEPG";2005;0;0;NA;NA
